Series ID,ndemplsa,ndlfprsa,gfemplnsa,ndemplnsa,ndlfprnsa
"Jan
2017",403954,70.8,55066,395013,69.8
"Feb
2017",404812,70.9,55292,398062,70.3
"Mar
2017",405729,71.0,55339,400763,70.6
"Apr
2017",406414,71.0,55244,405945,71.0
"May
2017",406697,71.0,55256,409795,71.3
"Jun
2017",406504,71.0,55029,413097,72.3
"Jul
2017",405903,70.8,54317,414002,72.2
"Aug
2017",405078,70.7,53839,409928,71.4
"Sep
2017",404220,70.5,55189,409152,70.9
"Oct
2017",403543,70.4,55343,406402,70.2
"Nov
2017",403097,70.3,54998,400148,69.5
"Dec
2017",402903,70.3,54386,396500,69.2
"Jan
2018",402303,70.2,54191,393829,69.1
"Feb
2018",402540,70.2,54624,397171,69.8
"Mar
2018",402846,70.2,54391,397660,69.8
"Apr
2018",402954,70.1,54222,400101,69.8
"May
2018",402699,70.0,54454,406095,70.3
"Jun
2018",402179,69.8,53963,409234,71.3
"Jul
2018",401599,69.7,53337,410545,71.1
"Aug
2018",401191,69.5,52291,405313,70.2
"Sep
2018",401116,69.5,53360,404243,69.6
"Oct
2018",401438,69.5,53995,404977,69.6
"Nov
2018",402127,69.6,53514,400076,68.9
"Dec
2018",403051,69.8,53295,397172,68.7
"Jan
2019",403945,69.9,52809,395847,69.1
"Feb
2019",404612,70.0,52961,399328,69.6
"Mar
2019",404990,70.0,53174,399297,69.5
"Apr
2019",405146,70.0,53053,402744,69.6
"May
2019",405104,69.9,53528,407399,70.1
"Jun
2019",404947,69.8,53397,411222,71.1
"Jul
2019",404795,69.7,53045,412716,71.1
"Aug
2019",404706,69.7,52631,410401,70.6
"Sep
2019",404784,69.7,53814,408562,69.9
"Oct
2019",404898,69.7,54477,408371,69.7
"Nov
2019",404802,69.6,53937,402898,69.0
"Dec
2019",404207,69.4,52913,398735,68.5
"Jan
2020",403150,69.3,51639,395951,68.5
"Feb
2020",401870,69.1,52262,398786,68.8
"Mar
2020",400840,69.1,51116,392200,68.0
"Apr
2020",375275,69.1,47610,371827,68.2
"May
2020",378775,68.6,48853,377981,68.6
"Jun
2020",381308,68.4,50639,389478,70.2
"Jul
2020",384428,68.7,51249,390820,69.9
"Aug
2020",386978,68.8,51838,395774,70.2
"Sep
2020",388907,68.9,51398,393197,69.2
"Oct
2020",389848,68.8,53154,395313,69.0
"Nov
2020",390345,68.7,51516,386845,67.8
"Dec
2020",390672,68.6,50665,384807,67.6
"Jan
2021",391269,68.5,50472,383150,67.5
"Feb
2021",392183,68.5,51330,385511,67.8
"Mar
2021",393412,68.6,50791,387546,68.0
"Apr
2021",394562,68.6,51157,392288,68.3
"May
2021",395461,68.6,51473,398402,68.8
"Jun
2021",396116,68.6,51571,401310,69.8
"Jul
2021",396572,68.5,52176,404411,69.8
"Aug
2021",397146,68.4,51578,402364,69.3
"Sep
2021",397876,68.5,52167,403125,69.0
"Oct
2021",399140,68.6,52579,402180,68.6
